eqs,tpb,gpuA,nX,time,Speed
EulerClassic,192,12.0,6291456,66391.22746207,94.76336318069092
EulerClassic,192,12.0,8392704,89235.61928488,94.05105346113794
EulerClassic,192,12.0,12582912,132439.50384312,95.00875218397807
EulerClassic,192,14.0,65280,424.30093072,153.85306812602505
EulerClassic,192,14.0,104448,615.40855061,169.7213987301118
EulerClassic,192,14.0,130560,714.94184841,182.61625094454863
EulerClassic,192,14.0,195840,1040.85128958,188.1536795511149
EulerClassic,192,14.0,261120,1355.40034554,192.65156664540186
EulerClassic,192,14.0,391680,2047.24290154,191.32072686898368
EulerClassic,192,14.0,522240,2685.65034866,194.4556931100769
EulerClassic,192,14.0,783360,4013.28307932,195.19181291660354
EulerClassic,192,14.0,1057536,5373.27003479,196.81422916637968
EulerClassic,192,14.0,1579776,8892.15816151,177.6594580647601
EulerClassic,192,14.0,2102016,17316.10181115,121.39083166203677
EulerClassic,192,14.0,3146496,30990.44383656,101.53116930477842
EulerClassic,192,14.0,4204032,41745.33111398,100.706639229222
EulerClassic,192,14.0,6292992,63389.76058092,99.27458224056078
EulerClassic,192,14.0,8395008,83524.96910094,100.50896265348659
EulerClassic,192,14.0,12585984,125261.8556456,100.47738743076893
EulerClassic,192,16.0,69120,452.70833102,152.68108683634182
EulerClassic,192,16.0,96768,615.12032422,157.31556280912378
EulerClassic,192,16.0,138240,770.79963684,179.34621838527852
EulerClassic,192,16.0,193536,1023.71601625,189.05242950964723
EulerClassic,192,16.0,262656,1337.18672666,196.42432486303335
EulerClassic,192,16.0,400896,2002.28383324,200.21936617811537
EulerClassic,192,16.0,525312,2588.48597787,202.94179860007046
EulerClassic,192,16.0,787968,3851.82948546,204.56980325179111
EulerClassic,192,16.0,1050624,5214.99148282,201.46226575079206
EulerClassic,192,16.0,1575936,8120.61253461,194.06614873981127
EulerClassic,192,16.0,2101248,15446.99166038,136.02959373568464
EulerClassic,192,16.0,3151872,29190.22399729,107.97697202640917
EulerClassic,192,16.0,4202496,40306.06985092,104.2645937831142
EulerClassic,192,16.0,6289920,59231.43616589,106.19225882660967
